Total API calls: 209
Sidebar-counts calls: 3
================================================================================
    t_ms  method  url
================================================================================
        7  GET     http://localhost:5173/
       19  GET     http://localhost:5173/@vite/client
       20  GET     http://localhost:5173/src/main.tsx
       21  GET     http://localhost:5173/@react-refresh
       31  GET     http://localhost:5173/node_modules/.vite/deps/react.js?v=9ba506dc
       32  GET     http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=ea815157
       32  GET     http://localhost:5173/src/styles/global.css
       33  GET     http://localhost:5173/src/App.tsx
       37  GET     http://localhost:5173/src/state/store.tsx
       38  GET     http://localhost:5173/src/components/common/ToastProvider.tsx
       38  GET     http://localhost:5173/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=9ba506dc
       39  GET     http://localhost:5173/node_modules/.vite/deps/react-CeuZGjFw.js?v=b517e693
       51  GET     http://localhost:5173/@fs/D:/DAM-Link-Backend/node_modules/.pnpm/vite@8.0.16_@types+node@24.13.0_tsx@4.19.1_yaml@2.9.0/node_modules/vite/dist/client/env.mjs
       60  GET     http://localhost:5173/src/state/persistence.ts
       61  GET     http://localhost:5173/src/state/reducer.ts
       62  GET     http://localhost:5173/src/state/initialUI.ts
       62  GET     http://localhost:5173/node_modules/.vite/deps/react-dom.js?v=9ba506dc
       63  GET     http://localhost:5173/src/components/common/Toast.tsx
       64  GET     http://localhost:5173/src/utils/id.ts
       65  GET     http://localhost:5173/src/components/common/Toast.module.css
       66  GET     http://localhost:5173/src/components/layout/AppShell.tsx
       67  GET     http://localhost:5173/src/components/toolbar/Toolbar.tsx
       68  GET     http://localhost:5173/src/components/sidebar/Sidebar.tsx
       69  GET     http://localhost:5173/src/components/browser/AssetGrid.tsx
       70  GET     http://localhost:5173/src/components/browser/AssetList.tsx
       72  GET     http://localhost:5173/src/components/detail/DetailPanel.tsx
       74  GET     http://localhost:5173/src/components/upload/UploadDialog.tsx
       74  GET     http://localhost:5173/src/components/filter/FilterPanel.tsx
       76  GET     http://localhost:5173/src/components/common/Modal.tsx
       77  GET     http://localhost:5173/src/components/common/ShortcutsHelp.tsx
       79  GET     http://localhost:5173/src/components/common/ContextMenu.tsx
       80  GET     http://localhost:5173/src/components/common/Drawer.tsx
       81  GET     http://localhost:5173/src/components/common/BottomSheet.tsx
       82  GET     http://localhost:5173/src/components/batch/BatchActionBar.tsx
       84  GET     http://localhost:5173/src/components/common/ConfirmDialog.tsx
       85  GET     http://localhost:5173/src/components/common/ErrorBoundary.tsx
       86  GET     http://localhost:5173/src/components/auth/LoginScreen.tsx
       87  GET     http://localhost:5173/src/components/browser/AssetRowMenu.tsx
       88  GET     http://localhost:5173/src/hooks/useStore.ts
       89  GET     http://localhost:5173/src/hooks/useDebounce.ts
       90  GET     http://localhost:5173/src/hooks/useToast.ts
       91  GET     http://localhost:5173/src/hooks/useViewport.ts
       92  GET     http://localhost:5173/src/hooks/useKeyboardShortcuts.ts
       93  GET     http://localhost:5173/src/state/mockData.ts
       94  GET     http://localhost:5173/src/state/selectors.ts
       94  GET     http://localhost:5173/src/utils/clipboard.ts
       95  GET     http://localhost:5173/src/utils/download.ts
       95  GET     http://localhost:5173/src/state/assetOps.ts
       96  GET     http://localhost:5173/src/api/auth.ts
       97  GET     http://localhost:5173/src/api/assets.ts
       97  GET     http://localhost:5173/src/api/client.ts
       98  GET     http://localhost:5173/src/api/share-links.ts
       99  GET     http://localhost:5173/src/App.module.css
      101  GET     http://localhost:5173/src/api/orgs.ts
      102  GET     http://localhost:5173/src/state/assetAdapter.ts
      103  GET     http://localhost:5173/src/components/layout/AppShell.module.css
      103  GET     http://localhost:5173/node_modules/.vite/deps/@tabler_icons-react.js?v=55c08856
      104  GET     http://localhost:5173/src/components/toolbar/ExportButton.tsx
      104  GET     http://localhost:5173/src/components/toolbar/Toolbar.module.css
      106  GET     http://localhost:5173/src/components/sidebar/Sidebar.module.css
      108  GET     http://localhost:5173/src/components/browser/AssetCard.tsx
      109  GET     http://localhost:5173/src/components/common/EmptyState.tsx
      110  GET     http://localhost:5173/src/components/browser/AssetGrid.module.css
      111  GET     http://localhost:5173/src/components/browser/AssetListRow.tsx
      112  GET     http://localhost:5173/src/components/browser/StackedCardList.tsx
      114  GET     http://localhost:5173/src/components/browser/AssetList.module.css
      116  GET     http://localhost:5173/src/utils/fileType.ts
      117  GET     http://localhost:5173/src/utils/format.ts
      118  GET     http://localhost:5173/src/components/detail/TagEditor.tsx
      119  GET     http://localhost:5173/src/components/detail/DetailPanel.module.css
      120  GET     http://localhost:5173/src/components/upload/DropZone.tsx
      121  GET     http://localhost:5173/src/hooks/useUpload.ts
      122  GET     http://localhost:5173/src/components/upload/UploadDialog.module.css
      123  GET     http://localhost:5173/src/components/filter/FilterPanel.module.css
      124  GET     http://localhost:5173/src/components/common/Modal.module.css
      125  GET     http://localhost:5173/src/components/common/ContextMenu.module.css
      126  GET     http://localhost:5173/src/components/common/Drawer.module.css
      126  GET     http://localhost:5173/src/components/common/BottomSheet.module.css
      127  GET     http://localhost:5173/src/components/batch/BatchActionBar.module.css
      128  GET     http://localhost:5173/src/components/common/ConfirmDialog.module.css
      130  GET     http://localhost:5173/src/components/common/ErrorBoundary.module.css
      130  GET     http://localhost:5173/src/lib/gsap-setup.ts
      131  GET     http://localhost:5173/src/lib/animations/login-screen.ts
      131  GET     http://localhost:5173/src/components/auth/LoginScreen.module.css
      133  GET     http://localhost:5173/src/state/keymap.ts
      153  GET     http://localhost:5173/src/components/common/EmptyState.module.css
      154  GET     http://localhost:5173/src/components/browser/AssetCard.module.css
      156  GET     http://localhost:5173/src/components/browser/StackedCardList.module.css
      160  GET     http://localhost:5173/src/components/detail/TagEditor.module.css
      162  GET     http://localhost:5173/src/api/uploads.ts
      162  GET     http://localhost:5173/src/hooks/useDragDrop.ts
      164  GET     http://localhost:5173/src/components/upload/DropZone.module.css
      167  GET     http://localhost:5173/node_modules/.vite/deps/gsap.js?v=661a656e
      168  GET     http://localhost:5173/node_modules/.vite/deps/@gsap_react.js?v=5cb2cae3
      172  GET     http://localhost:5173/node_modules/.vite/deps/gsap-B2f31_N6.js?v=b517e693
      243  GET     http://localhost:5173/api/v1/auth/me
      243  GET     http://localhost:5173/api/v1/auth/me
      256  GET     http://localhost:5173/api/v1/auth/me
      256  GET     http://localhost:5173/api/v1/auth/me
      362  POST    http://localhost:5173/api/v1/auth/login
      563  GET     http://localhost:5173/
      569  GET     http://localhost:5173/@vite/client
      570  GET     http://localhost:5173/src/main.tsx
      571  GET     http://localhost:5173/@react-refresh
      576  GET     http://localhost:5173/node_modules/.vite/deps/react.js?v=9ba506dc
      577  GET     http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=ea815157
      577  GET     http://localhost:5173/src/styles/global.css
      578  GET     http://localhost:5173/src/App.tsx
      579  GET     http://localhost:5173/src/state/store.tsx
      580  GET     http://localhost:5173/src/components/common/ToastProvider.tsx
      580  GET     http://localhost:5173/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=9ba506dc
      582  GET     http://localhost:5173/node_modules/.vite/deps/react-CeuZGjFw.js?v=b517e693
      590  GET     http://localhost:5173/src/state/persistence.ts
      591  GET     http://localhost:5173/src/state/reducer.ts
      592  GET     http://localhost:5173/src/state/initialUI.ts
      592  GET     http://localhost:5173/node_modules/.vite/deps/react-dom.js?v=9ba506dc
      594  GET     http://localhost:5173/src/components/common/Toast.tsx
      594  GET     http://localhost:5173/src/utils/id.ts
      595  GET     http://localhost:5173/src/components/common/Toast.module.css
      596  GET     http://localhost:5173/src/components/layout/AppShell.tsx
      597  GET     http://localhost:5173/src/components/toolbar/Toolbar.tsx
      597  GET     http://localhost:5173/src/components/sidebar/Sidebar.tsx
      598  GET     http://localhost:5173/src/components/browser/AssetGrid.tsx
      599  GET     http://localhost:5173/src/components/browser/AssetList.tsx
      599  GET     http://localhost:5173/src/components/detail/DetailPanel.tsx
      600  GET     http://localhost:5173/src/components/upload/UploadDialog.tsx
      601  GET     http://localhost:5173/src/components/filter/FilterPanel.tsx
